TRATON;8TRA;SEK;DE000TRAT0N7;Industrials;5020
AAK;AAK;SEK;SE0011337708;Consumer Goods;4510
ABB Ltd;ABB;SEK;CH0012221716;Industrials;5020
ABB Ltd U;ABB U;SEK;SE0021514346;Industrials;5020
Addtech B;ADDT B;SEK;SE0014781795;Industrials;5020
AFRY;AFRY;SEK;SE0005999836;Industrials;5010
Alfa Laval;ALFA;SEK;SE0000695876;Industrials;5020
AddLife B;ALIF B;SEK;SE0014401378;Health Care;2010
Autoliv SDB;ALIV SDB;SEK;SE0021309614;Consumer Services;4010
Alleima;ALLEI;SEK;SE0017615644;Basic Materials;5510
Addnode Group B;ANOD B;SEK;SE0017885767;Technology;1010
Arion Banki SDB;ARION SDB;SEK;SE0010413567;Financials;3010
Arjo B;ARJO B;SEK;SE0010468116;Health Care;2010
ASSA ABLOY B;ASSA B;SEK;SE0007100581;Industrials;5010
Atlas Copco A;ATCO A;SEK;SE0017486889;Industrials;5020
Atlas Copco B;ATCO B;SEK;SE0017486897;Industrials;5020
Atrium Ljungberg B;ATRLJ B;SEK;SE0000191827;Real Estate;3510
Axfood;AXFO;SEK;SE0006993770;Consumer Goods;4520
Avanza Bank Holding;AZA;SEK;SE0012454072;Financials;3010
AstraZeneca;AZN;SEK;GB0009895292;Health Care;2010
Fast. Balder B;BALD B;SEK;SE0017832488;Real Estate;3510
Beijer Ref B;BEIJ B;SEK;SE0015949748;Industrials;5020
Better Collective;BETCO;SEK;DK0060952240;Technology;1010
Betsson B;BETS B;SEK;SE0020845014;Consumer Services;4050
Bilia A;BILI A;SEK;SE0009921588;Consumer Services;4040
Billerud;BILL;SEK;SE0000862997;Basic Materials;5510
BioArctic B;BIOA B;SEK;SE0010323311;Health Care;2010
Biotage;BIOT;SEK;SE0000454746;Health Care;2010
Boliden;BOL;SEK;SE0020050417;Basic Materials;5510
Bravida Holding;BRAV;SEK;SE0007491303;Industrials;5010
Bure Equity;BURE;SEK;SE0000195810;Financials;3020
Camurus;CAMX;SEK;SE0007692850;Health Care;2010
Castellum;CAST;SEK;SE0000379190;Real Estate;3510
Catena;CATE;SEK;SE0001664707;Real Estate;3510
Corem Property Group A;CORE A;SEK;SE0010714279;Real Estate;3510
Corem Property Group B;CORE B;SEK;SE0010714287;Real Estate;3510
Corem Property Group D;CORE D;SEK;SE0015961594;Real Estate;3510
Corem Property Group Pref;CORE PREF;SEK;SE0010714311;Real Estate;3510
Creades A;CRED A;SEK;SE0015661236;Financials;3020
Di�s Fastigheter;DIOS;SEK;SE0001634262;Real Estate;3510
Dometic Group;DOM;SEK;SE0007691613;Consumer Services;4020
Elekta B;EKTA B;SEK;SE0000163628;Health Care;2010
Electrolux A;ELUX A;SEK;SE0016589170;Consumer Services;4020
Electrolux B;ELUX B;SEK;SE0016589188;Consumer Services;4020
Embracer Group B;EMBRAC B;SEK;SE0016828511;Consumer Services;4020
Epiroc A;EPI A;SEK;SE0015658109;Industrials;5020
Epiroc B;EPI B;SEK;SE0015658117;Industrials;5020
Electrolux Professional B;EPRO B;SEK;SE0013747870;Industrials;5020
EQT;EQT;SEK;SE0012853455;Financials;3020
Ericsson A;ERIC A;SEK;SE0000108649;Telecommunications;1510
Ericsson B;ERIC B;SEK;SE0000108656;Telecommunications;1510
Essity A;ESSITY A;SEK;SE0009922156;Consumer Goods;4520
Essity B;ESSITY B;SEK;SE0009922164;Consumer Goods;4520
Evolution;EVO;SEK;SE0012673267;Consumer Services;4050
Fabege;FABG;SEK;SE0011166974;Real Estate;3510
Fortnox;FNOX;SEK;SE0017161243;Technology;1010
Fenix Outdoor International B;FOI B;SEK;CH0242214887;Consumer Services;4020
Fastpartner A;FPAR A;SEK;SE0013512506;Real Estate;3510
Fastpartner D;FPAR D;SEK;SE0013512514;Real Estate;3510
Getinge B;GETI B;SEK;SE0000202624;Health Care;2010
