Ticker;Name
8TRA;TRATON
AAK;AAK
ABB;ABB Ltd
ADDT B;Addtech B
AFRY;AFRY
ALFA;Alfa Laval
ALIF B;AddLife B
ALIV SDB;Autoliv SDB
ALLEI;Alleima
ANOD B;Addnode Group B
ARION SDB;Arion Banki SDB
ARJO B;Arjo B
ASSA B;ASSA ABLOY B
ATCO A;Atlas Copco A
ATCO B;Atlas Copco B
ATRLJ B;Atrium Ljungberg B
AXFO;Axfood
AZA;Avanza Bank Holding
AZN;AstraZeneca
BALD B;Fast. Balder B
BEIJ B;Beijer Ref B
BETCO;Better Collective
BETS B;Betsson B
BILI A;Bilia A
BILL;Billerud
BIOA B;BioArctic B
BIOT;Biotage
BOL;Boliden
BRAV;Bravida Holding
BURE;Bure Equity
CAMX;Camurus
CAST;Castellum
CATE;Catena
CORE A;Corem Property Group A
CORE B;Corem Property Group B
CORE D;Corem Property Group D
CORE PREF;Corem Property Group Pref
CRED A;Creades A
DIOS;Diös Fastigheter
DOM;Dometic Group
EKTA B;Elekta B
ELUX A;Electrolux A
ELUX B;Electrolux B
EMBRAC B;Embracer Group B
EPI A;Epiroc A
EPI B;Epiroc B
EPRO B;Electrolux Professional B
EQT;EQT
ERIC A;Ericsson A
ERIC B;Ericsson B
ESSITY A;Essity A
ESSITY B;Essity B
EVO;Evolution
FABG;Fabege
FNOX;Fortnox
FOI B;Fenix Outdoor International B
FPAR A;Fastpartner A
FPAR D;Fastpartner D
GETI B;Getinge B
HEM;Hemnet Group
HEXA B;Hexagon B
HM B;Hennes & Mauritz B
HMS;HMS Networks
HOLM A;Holmen A
HOLM B;Holmen B
HPOL B;HEXPOL B
HUFV A;Hufvudstaden A
HUSQ A;Husqvarna A
HUSQ B;Husqvarna B
INDT;Indutrade
INDU A;Industrivärden A
INDU C;Industrivärden C
INSTAL;Instalco
INTRUM;Intrum
INVE A;Investor A
INVE B;Investor B
IPCO;International Petroleum Corp.
JM;JM
KIND SDB;Kindred Group
KINV A;Kinnevik A
KINV B;Kinnevik B
LAGR B;Lagercrantz Group B
LATO B;Latour B
LIAB;Lindab International
LIFCO B;Lifco B
LOOMIS;Loomis
LUG;Lundin Gold
LUMI;Lundin Mining Corporation
LUND B;Lundbergföretagen B
MCOV B;Medicover B
MIPS;Mips
MTG A;Modern Times Group A
MTG B;Modern Times Group B
MTRS;Munters Group
MYCR;Mycronic
NCAB;NCAB Group
NCC A;NCC A
NCC B;NCC B
NDA SE;Nordea Bank Abp
NEWA B;New Wave B
NIBE B;NIBE Industrier B
NOLA B;Nolato B
NP3;NP3 Fastigheter
NP3 PREF;NP3 Fastigheter Pref
NYF;Nyfosa
OX2;OX2
PEAB B;Peab B
PNDX B;Pandox B
RATO A;Ratos A
RATO B;Ratos B
SAAB B;SAAB B
SAGA A;Sagax A
SAGA B;Sagax B
SAGA D;Sagax D
SAMPO SDB;Sampo Oyj SDB
SAND;Sandvik
SAVE;Nordnet
SBB B;Samhällsbyggnadsbo. i Norden B
SBB D;Samhällsbyggnadsbo. i Norden D
SCA A;SCA A
SCA B;SCA B
SEB A;SEB A
SEB C;SEB C
SECT B;SECTRA B
SECU B;Securitas B
SHB A;Sv. Handelsbanken A
SHB B;Sv. Handelsbanken B
SINCH;Sinch
SKA B;Skanska B
SKF A;SKF A
SKF B;SKF B
SOBI;Swedish Orphan Biovitrum
SSAB A;SSAB A
SSAB B;SSAB B
STE A;Stora Enso A
STE R;Stora Enso R
STOR B;Storskogen Group B
SWEC A;SWECO A
SWEC B;SWECO B
SWED A;Swedbank A
SYSR;Systemair
TEL2 A;Tele2 A
TEL2 B;Tele2 B
TELIA;Telia Company
THULE;Thule Group
TIETOS;TietoEVRY Oyj
TIGO SDB;Millicom Int. Cellular SDB
TREL B;Trelleborg B
TROAX;Troax Group
TRUE B;Truecaller B
VIT B;Vitec Software Group B
VITR;Vitrolife
VOLCAR B;Volvo Car B
VOLV A;Volvo A
VOLV B;Volvo B
WALL B;Wallenstam B
WIHL;Wihlborgs Fastigheter
ACAD;AcadeMedia
ALIG;Alimak Group
ALLIGO B;Alligo B
AMBEA;Ambea
AOI;Africa Oil
AQ;AQ Group
ARISE;Arise
ARP;Arctic Paper
ATT;Attendo
BACTI B;Bactiguard Holding B
BEIA B;Beijer Alma B
BERG B;Bergman & Beving B
BFG;Byggfakta Group Nordic HoldCo
BHG;BHG Group
BICO;BICO Group
BINV;BioInvent International
BIOG B;BioGaia B
BMAX;Byggmax Group
BONAV A;Bonava A
BONAV B;Bonava B
BONEX;BONESUPPORT HOLDING
BOOZT;Boozt
BRIN B;Brinova Fastigheter B
BTS B;BTS Group B
BUFAB;Bufab
CALTX;Calliditas Therapeutics
CAT A;Catella A
CAT B;Catella B
CCC;Cavotec
CEVI;CellaVision
CIBUS;Cibus Nordic Real Estate
CINT;Cint Group
CLA B;Cloetta B
CLAS B;Clas Ohlson B
COIC;Concentric
COOR;Coor Service Management Hold.
COPP;Copperstone Resources
CS;CoinShares International
CTEK;CTEK
CTM;Catena Media
CTT;CTT Systems
DUNI;Duni
DUST;Dustin Group
EAST;Eastnine
ELAN B;Elanders B
EMIL B;Fastighetsbolaget Emilshus B
EMIL PREF;Fastighetsbolag. Emilshus Pref
ENEA;Enea
ENGCON B;engcon B
EOLU B;Eolus Vind B
EPEN;Ependion
EWRK;Ework Group
FAG;Fagerhult Group
FG;Fasadgruppen Group
FMM B;FM Mattsson Mora Group B
G5EN;G5 Entertainment
GARO;Garo
GIGSEK;Gaming Innovation Group
GPG;Genova Property Group
GREEN;Green Landscaping Group
GRNG;Gränges
HANZA;HANZA
HEBA B;HEBA B
HNSA;Hansa Biopharma
HOFI;Hoist Finance
HTRO;Hexatronic Group
HUM;Humana
IAR B;I.A.R Systems Group
INWI;Inwido
ITAB;ITAB Shop Concept
IVSO;INVISIO
JOMA;John Mattson Fastighetsföret.
KABE B;KABE Group B
KAR;Karnov Group
KFAST B;K-Fast Holding B
KLARA B;KlaraBo Sverige B
KNOW;Knowit
LIME;Lime Technologies
LINC;Linc
LOGI A;Logistea A
LOGI B;Logistea B
LUC;Lucara Diamond Corp
MANG;Mangold
MCAP;MedCap
MEKO;MEKO
MILDEF;Mildef Group
MMGR B;Momentum Group B
NETI B;Net Insight B
NIVI B;Nivika Fastigheter B
NMAN;Nederman Holding
NOBI;Nobia
NORION;Norion Bank
