Exchange,Symbol,ShortName,LongName,Sector,Industry,City,State,Country
NMS,MSFT,Microsoft Corporation,Microsoft Corporation,Technology,Software - Infrastructure,Redmond,WA,United States
NMS,AAPL,Apple Inc.,Apple Inc.,Technology,Consumer Electronics,Cupertino,CA,United States
NMS,NVDA,NVIDIA Corporation,NVIDIA Corporation,Technology,Semiconductors,Santa Clara,CA,United States
NMS,GOOGL,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,Mountain View,CA,United States
NMS,GOOG,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,Mountain View,CA,United States
NMS,AMZN,Amazon.com Inc.,Amazon.com Inc.,Consumer Cyclical,Internet Retail,Seattle,WA,United States
NMS,META,Meta Platforms Inc.,Meta Platforms Inc.,Communication Services,Internet Content & Information,Menlo Park,CA,United States
NYQ,BRK-B,Berkshire Hathaway Inc. New,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,Omaha,NE,United States
NYQ,LLY,Eli Lilly and Company,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,Indianapolis,IN,United States
NMS,AVGO,Broadcom Inc.,Broadcom Inc.,Technology,Semiconductors,Palo Alto,CA,United States
NMS,TSLA,Tesla Inc.,Tesla Inc.,Consumer Cyclical,Auto Manufacturers,Austin,TX,United States
NYQ,V,Visa Inc.,Visa Inc.,Financial Services,Credit Services,San Francisco,CA,United States
NYQ,JPM,JP Morgan Chase & Co.,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,New York,NY,United States
NYQ,XOM,Exxon Mobil Corporation,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,Spring,TX,United States
NYQ,WMT,Walmart Inc.,Walmart Inc.,Consumer Defensive,Discount Stores,Bentonville,AR,United States
NYQ,UNH,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,Minnetonka,MN,United States
NYQ,MA,Mastercard Incorporated,Mastercard Incorporated,Financial Services,Credit Services,Purchase,NY,United States
NYQ,PG,Procter & Gamble Company,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,Cincinnati,OH,United States
NYQ,JNJ,Johnson & Johnson,Johnson & Johnson,Healthcare,Drug Manufacturers - General,New Brunswick,NJ,United States
NYQ,HD,Home Depot Inc.,The Home Depot Inc.,Consumer Cyclical,Home Improvement Retail,Atlanta,GA,United States
NMS,COST,Costco Wholesale Corporation,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,Issaquah,WA,United States
NYQ,ORCL,Oracle Corporation,Oracle Corporation,Technology,Software - Infrastructure,Austin,TX,United States
NYQ,MRK,Merck & Company Inc.,Merck & Co. Inc.,Healthcare,Drug Manufacturers - General,Rahway,NJ,United States
NYQ,CVX,Chevron Corporation,Chevron Corporation,Energy,Oil & Gas Integrated,San Ramon,CA,United States
NYQ,BAC,Bank of America Corporation,Bank of America Corporation,Financial Services,Banks - Diversified,Charlotte,NC,United States
NYQ,ABBV,AbbVie Inc.,AbbVie Inc.,Healthcare,Drug Manufacturers - General,North Chicago,IL,United States
NYQ,KO,Coca Cola Company,The Coca Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,Atlanta,GA,United States
NYQ,CRM,Salesforce Inc.,Salesforce Inc.,Technology,Software - Application,San Francisco,CA,United States
NMS,NFLX,Netflix Inc.,Netflix Inc.,Communication Services,Entertainment,Los Gatos,CA,United States
